ID,cluster,cluster16,img
118har00009,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/118har00009/118har00009ps.jpg
118rdt00197,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/118rdt00197/118rdt00197ps.jpg
118tem00002,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/118tem00002/118tem00002ps.jpg
118yrz00042,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/118yrz00042/118yrz00042ps.jpg
11arm00178,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/11arm00178/11arm00178ps.jpg
13kk00036,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/13kk00036/13kk00036ps.jpg
15jmd00090,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/15jmd00090/15jmd00090ps.jpg
172emu00082,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/172emu00082/172emu00082ps.jpg
172real00449,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/172real00449/172real00449ps.jpg
172real00505,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/172real00505/172real00505ps.jpg
18sprd00601,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/18sprd00601/18sprd00601ps.jpg
1bksp00243,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1bksp00243/1bksp00243ps.jpg
1dandy00141,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1dandy00141/1dandy00141ps.jpg
1dandy00287,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1dandy00287/1dandy00287ps.jpg
1dandy00332,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1dandy00332/1dandy00332ps.jpg
1dvdes00546,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1dvdes00546/1dvdes00546ps.jpg
1dvdes00564,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1dvdes00564/1dvdes00564ps.jpg
1dvdes00572,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1dvdes00572/1dvdes00572ps.jpg
1dvdes00644,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1dvdes00644/1dvdes00644ps.jpg
1dvdes00753,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1dvdes00753/1dvdes00753ps.jpg
1fset00202,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1fset00202/1fset00202ps.jpg
1fset00215,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1fset00215/1fset00215ps.jpg
1hunt00286,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1hunt00286/1hunt00286ps.jpg
1hunt00429,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1hunt00429/1hunt00429ps.jpg
1iene00496,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1iene00496/1iene00496ps.jpg
1nhdt00659,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1nhdt00659/1nhdt00659ps.jpg
1nhdta00017,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1nhdta00017/1nhdta00017ps.jpg
1nhdta00210,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1nhdta00210/1nhdta00210ps.jpg
1nhdta00394,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1nhdta00394/1nhdta00394ps.jpg
1nhdta00442,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1nhdta00442/1nhdta00442ps.jpg
1nhdta00510,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1nhdta00510/1nhdta00510ps.jpg
1nhdta00542,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1nhdta00542/1nhdta00542ps.jpg
1nhdta00548,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1nhdta00548/1nhdta00548ps.jpg
1nhdta00562,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1nhdta00562/1nhdta00562ps.jpg
1rct00356,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1rct00356/1rct00356ps.jpg
1rct00360,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1rct00360/1rct00360ps.jpg
1rct00426,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1rct00426/1rct00426ps.jpg
1rct00447,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1rct00447/1rct00447ps.jpg
1sdde00213,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1sdde00213/1sdde00213ps.jpg
1sdmt00165,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1sdmt00165/1sdmt00165ps.jpg
1sdmt00768,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1sdmt00768/1sdmt00768ps.jpg
1sdmu00021,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1sdmu00021/1sdmu00021ps.jpg
1sdmu00100,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1sdmu00100/1sdmu00100ps.jpg
1sdmu00145,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1sdmu00145/1sdmu00145ps.jpg
1sw00106,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1sw00106/1sw00106ps.jpg
1sw00215,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1sw00215/1sw00215ps.jpg
1sw00221,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1sw00221/1sw00221ps.jpg
1sw00225,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1sw00225/1sw00225ps.jpg
1sw00241,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1sw00241/1sw00241ps.jpg
1sw00257,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1sw00257/1sw00257ps.jpg
1sw00277,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/1sw00277/1sw00277ps.jpg
33dphn00142,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/33dphn00142/33dphn00142ps.jpg
36dskm00031,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/36dskm00031/36dskm00031ps.jpg
36dskm00092,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/36dskm00092/36dskm00092ps.jpg
49ekdv00014,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/49ekdv00014/49ekdv00014ps.jpg
49ekdv00416,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/49ekdv00416/49ekdv00416ps.jpg
49nitr00120,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/49nitr00120/49nitr00120ps.jpg
57bdsr00118r,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/57bdsr00118r/57bdsr00118rps.jpg
57bdsr00155,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/57bdsr00155/57bdsr00155ps.jpg
61mdb00421,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/61mdb00421/61mdb00421ps.jpg
61mdb00550,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/61mdb00550/61mdb00550ps.jpg
84okad00467,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/84okad00467/84okad00467ps.jpg
alb00023,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/alb00023/alb00023ps.jpg
bomn00089,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/bomn00089/bomn00089ps.jpg
bxdr00004,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/bxdr00004/bxdr00004ps.jpg
club00012,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/club00012/club00012ps.jpg
club00044,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/club00044/club00044ps.jpg
club00118,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/club00118/club00118ps.jpg
cosq00036,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/cosq00036/cosq00036ps.jpg
ddb00107,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/ddb00107/ddb00107ps.jpg
ddb00190,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/ddb00190/ddb00190ps.jpg
dpmi00001,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/dpmi00001/dpmi00001ps.jpg
dpmi00009,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/dpmi00009/dpmi00009ps.jpg
ebod00050,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/ebod00050/ebod00050ps.jpg
h_047wa00176,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/h_047wa00176/h_047wa00176ps.jpg
h_047wa00223,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/h_047wa00223/h_047wa00223ps.jpg
h_066fax00089,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/h_066fax00089/h_066fax00089ps.jpg
h_172hmgl00034,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/h_172hmgl00034/h_172hmgl00034ps.jpg
h_189lmh00028,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/h_189lmh00028/h_189lmh00028ps.jpg
h_244saba00063,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/h_244saba00063/h_244saba00063ps.jpg
h_244sama00354,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/h_244sama00354/h_244sama00354ps.jpg
h_244sama00677,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/h_244sama00677/h_244sama00677ps.jpg
h_244sama00729,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/h_244sama00729/h_244sama00729ps.jpg
h_244sama00778,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/h_244sama00778/h_244sama00778ps.jpg
h_308aoz00092,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/h_308aoz00092/h_308aoz00092ps.jpg
h_565scop00136,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00136/h_565scop00136ps.jpg
h_565scop00150,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00150/h_565scop00150ps.jpg
h_565scop00168,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00168/h_565scop00168ps.jpg
h_565scop00253,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00253/h_565scop00253ps.jpg
h_848jkw00002,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/h_848jkw00002/h_848jkw00002ps.jpg
hjmo00160,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/hjmo00160/hjmo00160ps.jpg
idbd00368,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/idbd00368/idbd00368ps.jpg
jufd00190,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/jufd00190/jufd00190ps.jpg
jux00283,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/jux00283/jux00283ps.jpg
mbyd00223,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/mbyd00223/mbyd00223ps.jpg
mibd00596,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/mibd00596/mibd00596ps.jpg
mibd00790,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/mibd00790/mibd00790ps.jpg
mibd00805,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/mibd00805/mibd00805ps.jpg
mibd00927,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/mibd00927/mibd00927ps.jpg
mimu00001,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/mimu00001/mimu00001ps.jpg
njwp00002,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/njwp00002/njwp00002ps.jpg
nygw00001,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/nygw00001/nygw00001ps.jpg
oksn00130,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/oksn00130/oksn00130ps.jpg
opkt00002,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/opkt00002/opkt00002ps.jpg
opkt00006,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/opkt00006/opkt00006ps.jpg
ppsd00027,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/ppsd00027/ppsd00027ps.jpg
ptko00042,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/ptko00042/ptko00042ps.jpg
ptko00043,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/ptko00043/ptko00043ps.jpg
ptks00032,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/ptks00032/ptks00032ps.jpg
rki00219,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/rki00219/rki00219ps.jpg
sbjn00001,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/sbjn00001/sbjn00001ps.jpg
tywd00018,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/tywd00018/tywd00018ps.jpg
vema00057,1_1_1,1_1,http://pics.dmm.co.jp/digital/video/vema00057/vema00057ps.jpg
118brg00010,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/118brg00010/118brg00010ps.jpg
118dcx00009,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/118dcx00009/118dcx00009ps.jpg
118rdd00090,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/118rdd00090/118rdd00090ps.jpg
11armg00082,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/11armg00082/11armg00082ps.jpg
125ud00529r,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/125ud00529r/125ud00529rps.jpg
125ud00532r,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/125ud00532r/125ud00532rps.jpg
125ud00620r,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/125ud00620r/125ud00620rps.jpg
13rvg00005,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/13rvg00005/13rvg00005ps.jpg
1dandy00124,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/1dandy00124/1dandy00124ps.jpg
1dandy00126,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/1dandy00126/1dandy00126ps.jpg
1dandy00199,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/1dandy00199/1dandy00199ps.jpg
1dandy00223,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/1dandy00223/1dandy00223ps.jpg
1dandy00226,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/1dandy00226/1dandy00226ps.jpg
1dandy00240,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/1dandy00240/1dandy00240ps.jpg
1dvdes00453,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/1dvdes00453/1dvdes00453ps.jpg
1dvdes00481,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/1dvdes00481/1dvdes00481ps.jpg
1dvdes00567,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/1dvdes00567/1dvdes00567ps.jpg
1dvdes00592,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/1dvdes00592/1dvdes00592ps.jpg
1fset00288,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/1fset00288/1fset00288ps.jpg
1fset00294,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/1fset00294/1fset00294ps.jpg
1hunt00366,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/1hunt00366/1hunt00366ps.jpg
1hunt00479,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/1hunt00479/1hunt00479ps.jpg
1hunt00533,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/1hunt00533/1hunt00533ps.jpg
1hunt00598,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/1hunt00598/1hunt00598ps.jpg
1hunt00635,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/1hunt00635/1hunt00635ps.jpg
1hunt00745,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/1hunt00745/1hunt00745ps.jpg
1iene00128,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/1iene00128/1iene00128ps.jpg
1iene00159,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/1iene00159/1iene00159ps.jpg
1nhdt00989,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/1nhdt00989/1nhdt00989ps.jpg
1nhdta00024,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/1nhdta00024/1nhdta00024ps.jpg
1nhdta00132,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/1nhdta00132/1nhdta00132ps.jpg
